course_id,course_name,section_id,session,days/times,dates,instructor,status
¥ARTHUA650128029¥,¥ARTH-UA 650 - Sp Tpcs in Urban Design & Architecture:¥,¥Section: 002-SEM (9438)¥,¥Topic: Elements of Successful Public Space¥,¥Session: Regular Academic Session¥,¥Days/Times: Tu 3:30pm - 6:10pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Lynden B Miller¥
¥ARTHUA650128029¥,¥ARTH-UA 650 - Sp Tpcs in Urban Design & Architecture:¥,¥Section: 004-SEM (9440)¥,¥Topic: Global Cities and History¥,¥Session: Regular Academic Session¥,¥Days/Times: Th 2:00pm - 4:45pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Jonathan Hume Ritter¥
¥ARTHUA650128029¥,¥ARTH-UA 650 - Sp Tpcs in Urban Design & Architecture:¥,¥Section: 005-SEM (10006)¥,¥Topic: Drawing for Architects &¥,¥Session: Regular Academic Session¥,¥Days/Times: Tu 9:30am - 12:15pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Maria Ibanez, Todd Rouhe¥
¥ARTHUA650128029¥,¥ARTH-UA 650 - Sp Tpcs in Urban Design & Architecture:¥,¥Section: 006-SEM (10520)¥,¥Topic: URDS and Health¥,¥Session: Regular Academic Session¥,¥Days/Times: Mo 4:55pm - 7:25pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Yetsuh Frank¥
¥ARTHUA670128036¥,¥ARTH-UA 670 - Decision-Making & Urban Design¥,¥Section: 001-SEM (9441)¥,¥Session: Regular Academic Session¥,¥Days/Times: We 11:00am - 1:45pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: James D Morgan¥,¥Status: Open¥
¥ARTHUA671128037¥,¥ARTH-UA 671 - Architecture in Context¥,¥Section: 001-SEM (9444)¥,¥Session: Regular Academic Session¥,¥Days/Times: We 4:55pm - 7:25pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Austin Sakong, Luis A Bustamante¥,¥Status: Open¥
¥ARTHUA673128039¥,¥ARTH-UA 673 - Urban Design: Infrastructure¥,¥Section: 001-SEM (9442)¥,¥Session: Regular Academic Session¥,¥Days/Times: Tu 6:20pm - 8:50pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Holly B Haff¥,¥Status: Open¥
¥ARTHUA674128040¥,¥ARTH-UA 674 - Urban Design & The Law¥,¥Section: 001-SEM (9443)¥,¥Session: Regular Academic Session¥,¥Days/Times: We 4:55pm - 7:25pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Stephen M Raphael¥,¥Status: Open¥
¥ARTHUA800128049¥,¥ARTH-UA 800 - Advanced Seminar¥,¥Section: 001-SEM (9428)¥,¥Topic: Public Art in New York City, Then and Now¥,¥Session: Regular Academic Session¥,¥Days/Times: We 2:00pm - 4:45pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Kenneth E Silver¥
¥ARTHUA800128049¥,¥ARTH-UA 800 - Advanced Seminar¥,¥Section: 002-SEM (9429)¥,¥Topic: Global Issues on Contemporary Photography¥,¥Session: Regular Academic Session¥,¥Days/Times: Tu 2:00pm - 5:50pm¥,¥Dates: 09/03/2019 - 12/13/2019¥,¥Instructor: Shelley Rice, Ulrich C Baer¥
