¥course_id¥,¥course_name¥,¥section¥,¥topic¥,¥session¥,¥days/times¥,¥dates¥,¥instructor¥,¥status¥,¥wait list total¥
¥MEUY4653227231¥,¥ME-UY 4653 - Introduction to BioMEMS and Microfluidics¥,¥A-LEC (17448)¥,¥¥,¥Regular Academic Session¥,¥TuTh 11:00am - 12:20pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY4853072977¥,¥ME-UY 4853 - Manufacturing Engineering and Processes¥,¥I-LEC (17074)¥,¥¥,¥Regular Academic Session¥,¥Mo 6:00pm - 8:50pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY4983073645¥,¥ME-UY 4983 - SPECIAL TOPICS IN MECH ENGR¥,¥A-LEC (16844)¥,¥INTERSECTIONS OF EG, LAW & BUS¥,¥Regular Academic Session¥,¥Mo 3:00pm - 5:50pm¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY4993073510¥,¥ME-UY 4993 - B.S. THESIS IN MECHANICAL ENGINEERING¥,¥BK01-RSC (16772)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MEUY4993073510¥,¥ME-UY 4993 - B.S. THESIS IN MECHANICAL ENGINEERING¥,¥BK02-RSC (17029)¥,¥¥,¥Regular Academic Session¥,¥TBA¥,¥01/27/2020 - 05/11/2020¥,¥Staff¥,¥Open¥,¥¥
¥MDUY2314211727¥,¥MD-UY 2314 - Interactive Narrative¥,¥A-LEC (16946)¥,¥¥,¥Regular Academic Session¥,¥TuTh 8:30am - 10:20am¥,¥01/27/2020 - 05/11/2020¥,¥Matthew Weise¥,¥Closed¥,¥¥
¥MDUY2314211727¥,¥MD-UY 2314 - Interactive Narrative¥,¥B-LEC (17287)¥,¥¥,¥Regular Academic Session¥,¥TuTh 10:30am - 12:20pm¥,¥01/27/2020 - 05/11/2020¥,¥Matthew Weise¥,¥Closed¥,¥¥
¥PHUY1013073768¥,¥PH-UY 1013 - MECHANICS¥,¥A1LC-LEC (16668)¥,¥¥,¥Regular Academic Session¥,¥MoWe 9:00am - 10:25am¥,¥01/27/2020 - 05/11/2020¥,¥Siyka Shopova¥,¥Closed¥,¥¥
¥PHUY1013073768¥,¥PH-UY 1013 - MECHANICS¥,¥A1RC-RCT (16669)¥,¥¥,¥Regular Academic Session¥,¥Fr 9:00am - 9:55am¥,¥01/27/2020 - 05/11/2020¥,¥Benjamin E Nachumi¥,¥Closed¥,¥¥
¥PHUY1013073768¥,¥PH-UY 1013 - MECHANICS¥,¥A2LC-LEC (16670)¥,¥¥,¥Regular Academic Session¥,¥MoWe 9:00am - 10:25am¥,¥01/27/2020 - 05/11/2020¥,¥Siyka Shopova¥,¥Closed¥,¥¥
¥PHUY1013073768¥,¥PH-UY 1013 - MECHANICS¥,¥A2RC-RCT (16671)¥,¥¥,¥Regular Academic Session¥,¥Fr 9:00am - 9:55am¥,¥01/27/2020 - 05/11/2020¥,¥Alexander Raspopin¥,¥Closed¥,¥¥
¥PHUY1013073768¥,¥PH-UY 1013 - MECHANICS¥,¥A3LC-LEC (19114)¥,¥¥,¥Regular Academic Session¥,¥MoWe 9:00am - 10:25am¥,¥01/27/2020 - 05/11/2020¥,¥Siyka Shopova¥,¥Closed¥,¥¥
¥PHUY1013073768¥,¥PH-UY 1013 - MECHANICS¥,¥A3RC-RCT (19115)¥,¥¥,¥Regular Academic Session¥,¥Fr 9:00am - 9:55am¥,¥01/27/2020 - 05/11/2020¥,¥Partha Debroy¥,¥Closed¥,¥¥
¥PHUY1013073768¥,¥PH-UY 1013 - MECHANICS¥,¥B1LC-LEC (16672)¥,¥¥,¥Regular Academic Session¥,¥MoWe 3:00pm - 4:25pm¥,¥01/27/2020 - 05/11/2020¥,¥Lorcan Michael Folan¥,¥Closed¥,¥¥
¥PHUY1013073768¥,¥PH-UY 1013 - MECHANICS¥,¥B1RC-RCT (16673)¥,¥¥,¥Regular Academic Session¥,¥Fr 2:00pm - 2:55pm¥,¥01/27/2020 - 05/11/2020¥,¥Akhil Lal¥,¥Closed¥,¥¥
¥PHUY1013073768¥,¥PH-UY 1013 - MECHANICS¥,¥B2LC-LEC (16674)¥,¥¥,¥Regular Academic Session¥,¥MoWe 3:00pm - 4:25pm¥,¥01/27/2020 - 05/11/2020¥,¥Lorcan Michael Folan¥,¥Closed¥,¥¥
¥PHUY1013073768¥,¥PH-UY 1013 - MECHANICS¥,¥B2RC-RCT (16675)¥,¥¥,¥Regular Academic Session¥,¥Fr 2:00pm - 2:55pm¥,¥01/27/2020 - 05/11/2020¥,¥Partha Debroy¥,¥Closed¥,¥¥
¥PHUY1013073768¥,¥PH-UY 1013 - MECHANICS¥,¥B3LC-LEC (16676)¥,¥¥,¥Regular Academic Session¥,¥MoWe 3:00pm - 4:25pm¥,¥01/27/2020 - 05/11/2020¥,¥Lorcan Michael Folan¥,¥Closed¥,¥¥
¥PHUY1013073768¥,¥PH-UY 1013 - MECHANICS¥,¥B3RC-RCT (16677)¥,¥¥,¥Regular Academic Session¥,¥Fr 2:00pm - 2:55pm¥,¥01/27/2020 - 05/11/2020¥,¥Vladimir Petricevic¥,¥Closed¥,¥¥
¥PHUY1013073768¥,¥PH-UY 1013 - MECHANICS¥,¥C1LC-LEC (16678)¥,¥¥,¥Regular Academic Session¥,¥TuTh 9:30am - 10:55am¥,¥01/27/2020 - 05/11/2020¥,¥Vikram Duvvuri¥,¥Closed¥,¥¥
¥PHUY1013073768¥,¥PH-UY 1013 - MECHANICS¥,¥C1RC-RCT (16679)¥,¥¥,¥Regular Academic Session¥,¥Fr 11:00am - 11:55am¥,¥01/27/2020 - 05/11/2020¥,¥Alexander Raspopin¥,¥Closed¥,¥¥
