¥course_id¥,¥course_name¥,¥section¥,¥topic¥,¥session¥,¥days/times¥,¥dates¥,¥instructor¥,¥status¥
¥ARTHUA1127939¥,¥ARTH-UA 1 - History of Western Art I¥,¥003-LEC (9410)¥,¥¥,¥Regular Academic Session¥,¥MoWe 9:30am - 10:45am¥,¥09/03/2019 - 12/13/2019¥,¥Carol H Krinsky¥,¥Open¥
¥ARTHUA1127939¥,¥ARTH-UA 1 - History of Western Art I¥,¥004-RCT (9412)¥,¥¥,¥Regular Academic Session¥,¥Mo 11:00am - 12:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Alexa Sue Amore¥,¥Open¥
¥ARTHUA1127939¥,¥ARTH-UA 1 - History of Western Art I¥,¥005-RCT (9413)¥,¥¥,¥Regular Academic Session¥,¥Tu 12:30pm - 1:45pm¥,¥09/03/2019 - 12/13/2019¥,¥Alexa Sue Amore¥,¥Open¥
¥ARTHUA1127939¥,¥ARTH-UA 1 - History of Western Art I¥,¥006-RCT (9414)¥,¥¥,¥Regular Academic Session¥,¥We 11:00am - 12:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Rebecca Ann Salem¥,¥Open¥
¥ARTHUA1127939¥,¥ARTH-UA 1 - History of Western Art I¥,¥007-RCT (9415)¥,¥¥,¥Regular Academic Session¥,¥Th 2:00pm - 3:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Rebecca Ann Salem¥,¥Open¥
¥ARTHUA2127940¥,¥ARTH-UA 2 - History of Western Art II¥,¥001-LEC (9416)¥,¥¥,¥Regular Academic Session¥,¥MoWe 11:00am - 12:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Kenneth E Silver¥,¥Open¥
¥ARTHUA2127940¥,¥ARTH-UA 2 - History of Western Art II¥,¥002-LEC (9417)¥,¥¥,¥Regular Academic Session¥,¥MoWe 11:00am - 12:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Kenneth E Silver¥,¥Open¥
¥ARTHUA2127940¥,¥ARTH-UA 2 - History of Western Art II¥,¥003-LEC (9418)¥,¥¥,¥Regular Academic Session¥,¥MoWe 11:00am - 12:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Kenneth E Silver¥,¥Open¥
¥ARTHUA2127940¥,¥ARTH-UA 2 - History of Western Art II¥,¥004-RCT (9419)¥,¥¥,¥Regular Academic Session¥,¥Mo 12:30pm - 1:45pm¥,¥09/03/2019 - 12/13/2019¥,¥Francesca Isabella Ferrari¥,¥Open¥
¥ARTHUA2127940¥,¥ARTH-UA 2 - History of Western Art II¥,¥005-RCT (9420)¥,¥¥,¥Regular Academic Session¥,¥Tu 11:00am - 12:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Francesca Isabella Ferrari¥,¥Open¥
¥ARTHUA2127940¥,¥ARTH-UA 2 - History of Western Art II¥,¥006-RCT (9421)¥,¥¥,¥Regular Academic Session¥,¥We 12:30pm - 1:45pm¥,¥09/03/2019 - 12/13/2019¥,¥Jennifer G Buonocore¥,¥Open¥
¥ARTHUA2127940¥,¥ARTH-UA 2 - History of Western Art II¥,¥007-RCT (9422)¥,¥¥,¥Regular Academic Session¥,¥Th 3:30pm - 4:45pm¥,¥09/03/2019 - 12/13/2019¥,¥Jennifer G Buonocore¥,¥Open¥
¥ARTHUA3127941¥,¥ARTH-UA 3 - Ancient Art¥,¥001-LEC (9890)¥,¥¥,¥Regular Academic Session¥,¥MoWe 2:00pm - 3:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Abhilasha Vedantam Isaac, John N Hopkins¥,¥Closed¥
¥ARTHUA5127943¥,¥ARTH-UA 5 - Renaissance Art¥,¥001-LEC (9657)¥,¥¥,¥Regular Academic Session¥,¥TuTh 3:30pm - 4:45pm¥,¥09/03/2019 - 12/13/2019¥,¥Cristina Sol Arnedo Aldrich, Louise Rice¥,¥Open¥
¥ARTHUA6127944¥,¥ARTH-UA 6 - Modern Art¥,¥001-LEC (9423)¥,¥¥,¥Regular Academic Session¥,¥MoWe 12:30pm - 1:45pm¥,¥09/03/2019 - 12/13/2019¥,¥Ami Imai Brett, Julia E Robinson, Megan Anne Kincaid¥,¥Open¥
¥ARTHUA105127955¥,¥ARTH-UA 105 - Roman Architecture¥,¥001-LEC (19846)¥,¥¥,¥Regular Academic Session¥,¥MoWe 11:00am - 12:15pm¥,¥09/03/2019 - 12/13/2019¥,¥John N Hopkins¥,¥Open¥
¥ARTHUA205127965¥,¥ARTH-UA 205 - Medieval Architecture¥,¥001-LEC (19973)¥,¥¥,¥Regular Academic Session¥,¥MoWe 12:30pm - 1:45pm¥,¥09/03/2019 - 12/13/2019¥,¥Carol H Krinsky¥,¥Open¥
¥ARTHUA250127966¥,¥ARTH-UA 250 - Sp Tpcs Medieval Art:¥,¥001-LEC (19975)¥,¥The Illuminated Book in the Medieval Christain Wrl¥,¥Regular Academic Session¥,¥MoWe 2:00pm - 3:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Kathryn Ann Smith¥,¥Open¥
¥ARTHUA350127986¥,¥ARTH-UA 350 - Sp Tpcs Renaissance & Baroque Art:¥,¥001-LEC (10087)¥,¥Leonardo and Michelangelo, Triumph and Disaster¥,¥Regular Academic Session¥,¥TuTh 4:55pm - 6:10pm¥,¥09/03/2019 - 12/13/2019¥,¥Dennis V Geronimus¥,¥Open¥
¥ARTHUA350127986¥,¥ARTH-UA 350 - Sp Tpcs Renaissance & Baroque Art:¥,¥002-LEC (19795)¥,¥Albrecht Dürer and the German Renaissance¥,¥Regular Academic Session¥,¥Th 9:30am - 12:15pm¥,¥09/03/2019 - 12/13/2019¥,¥Christopher Wood¥,¥Open¥
